year,month,day,tmax
2000,1,1,29.05
2000,1,2,24.95
2000,1,3,23.05
2000,1,4,24.85
2000,1,5,26.45
2000,1,6,26.95
2000,1,7,24.85
2000,1,8,30.05
2000,1,9,29.75
2000,1,10,26.05
2000,1,11,27.45
2000,1,12,27.75
2000,1,13,23.15
2000,1,14,23.15
2000,1,15,26.35
2000,1,16,29.75
2000,1,17,32.45
2000,1,18,31.45
2000,1,19,30.95
2000,1,20,33.05
2000,1,21,34.35
2000,1,22,34.25
2000,1,23,32.45
2000,1,24,33.45
2000,1,25,35.05
2000,1,26,34.75
2000,1,27,34.45
2000,1,28,35.55
2000,1,29,32.85
2000,1,30,32.65
2000,1,31,28.35
2000,2,1,25.95
2000,2,2,25.55
2000,2,3,26.95
2000,2,4,27.15
2000,2,5,27.55
2000,2,6,27.65
2000,2,7,27.75
2000,2,8,26.45
2000,2,9,26.45
2000,2,10,27.35
2000,2,11,26.95
2000,2,12,28.25
2000,2,13,27.85
2000,2,14,27.85
2000,2,15,28.75
2000,2,16,29.35
2000,2,17,28.75
2000,2,18,29.75
2000,2,19,29.95
2000,2,20,31.45
2000,2,21,32.95
2000,2,22,34.05
2000,2,23,35.65
2000,2,24,35.05
2000,2,25,34.45
2000,2,26,31.85
2000,2,27,29.25
2000,2,28,30.55
2000,2,29,31.25
2000,3,1,31.95
2000,3,2,32.75
2000,3,3,33.55
2000,3,4,35.15
2000,3,5,36.25
2000,3,6,36.65
2000,3,7,36.65
2000,3,8,35.75
2000,3,9,34.95
2000,3,10,33.75
2000,3,11,33.05
2000,3,12,33.35
2000,3,13,31.85
2000,3,14,32.25
2000,3,15,33.95
2000,3,16,35.25
2000,3,17,35.15
2000,3,18,34.85
2000,3,19,32.75
2000,3,20,30.75
2000,3,21,31.05
2000,3,22,32.65
2000,3,23,35.15
2000,3,24,38.25
2000,3,25,38.95
2000,3,26,39.85
2000,3,27,38.85
2000,3,28,37.25
2000,3,29,39.35
2000,3,30,41.05
2000,3,31,40.75
2000,4,1,39.95
2000,4,2,40.95
2000,4,3,40.45
2000,4,4,37.45
2000,4,5,38.65
2000,4,6,41.05
2000,4,7,41.75
2000,4,8,43.45
2000,4,9,42.55
2000,4,10,42.35
2000,4,11,41.65
2000,4,12,42.25
2000,4,13,42.55
2000,4,14,41.95
2000,4,15,42.25
2000,4,16,42.15
2000,4,17,42.95
2000,4,18,42.75
2000,4,19,38.35
2000,4,20,37.15
2000,4,21,37.35
2000,4,22,37.85
2000,4,23,39.45
